chain_id,segment_id,x_cm,y_cm,z_cm
5.000000000000000000e+00,8.000000000000000000e+00,6.179041151200840964e+00,4.500426719336594772e+00,3.153654272761112765e+00
5.000000000000000000e+00,9.000000000000000000e+00,6.315982191156771286e+00,4.428161905518547492e+00,3.280243957410499789e+00
5.000000000000000000e+00,1.000000000000000000e+01,6.398606559366124102e+00,4.393854271182519255e+00,3.459118773984187989e+00
5.000000000000000000e+00,1.100000000000000000e+01,6.442992311053288290e+00,4.296534476394597846e+00,3.628112154297152614e+00
5.000000000000000000e+00,1.200000000000000000e+01,6.467100462230792601e+00,4.248738368107120245e+00,3.820814850384608441e+00
5.000000000000000000e+00,1.300000000000000000e+01,6.505496531883277811e+00,4.273630967404302261e+00,4.015509740752772672e+00
5.000000000000000000e+00,1.400000000000000000e+01,6.464312001196017121e+00,4.293839277214175354e+00,4.210177300060167660e+00
5.000000000000000000e+00,1.500000000000000000e+01,6.423072996115638311e+00,4.230422024759374011e+00,4.395319398328132010e+00
5.000000000000000000e+00,1.600000000000000000e+01,6.325983738693633285e+00,4.208984080982828502e+00,4.568853517912372375e+00
5.000000000000000000e+00,1.700000000000000000e+01,6.171642851443079891e+00,4.157037707194771059e+00,4.684958921632369488e+00
5.000000000000000000e+00,1.800000000000000000e+01,5.982780792011594961e+00,4.166153410387435585e+00,4.750135807585915693e+00
5.000000000000000000e+00,1.900000000000000000e+01,5.787547753374301607e+00,4.122842181291689556e+00,4.752999032806702218e+00
5.000000000000000000e+00,2.000000000000000000e+01,5.616993913133657479e+00,4.023219981918209953e+00,4.721585580733432153e+00
5.000000000000000000e+00,2.100000000000000000e+01,5.420373861193962917e+00,3.999053590163736960e+00,4.694080296063004809e+00
5.000000000000000000e+00,2.200000000000000000e+01,5.222470007653190471e+00,3.999487984194974199e+00,4.665203383909208412e+00
5.000000000000000000e+00,2.300000000000000000e+01,5.030690930609104328e+00,4.046433298792860178e+00,4.697092614778330066e+00
5.000000000000000000e+00,2.400000000000000000e+01,4.830968506920936711e+00,4.036283889099454569e+00,4.699910940344948607e+00
5.000000000000000000e+00,2.500000000000000000e+01,4.637024082831989524e+00,3.997792128029539871e+00,4.729976613371563054e+00
